Area,Year,average_rain_fall_mm_per_year,avg_temp,Decade,Date
Argentina,1996,617,17.8,1990s,1996-01-01 00:00:00
Argentina,1997,612,18.42,1990s,1997-01-01 00:00:00
Argentina,1998,611,17.38,1990s,1998-01-01 00:00:00
Argentina,1999,595,17.43,1990s,1999-01-01 00:00:00
Argentina,2000,611,17.32,2000s,2000-01-01 00:00:00
Argentina,2001,662,18.07,2000s,2001-01-01 00:00:00
Argentina,2002,663,17.82,2000s,2002-01-01 00:00:00
Argentina,2004,635,17.89,2000s,2004-01-01 00:00:00
Argentina,2005,642,17.58,2000s,2005-01-01 00:00:00
Argentina,2006,617,18.23,2000s,2006-01-01 00:00:00
Argentina,2007,658,16.92,2000s,2007-01-01 00:00:00
Argentina,2008,637,18.05,2000s,2008-01-01 00:00:00
Argentina,2009,613,18.12,2000s,2009-01-01 00:00:00
Argentina,2010,615,17.58,2010s,2010-01-01 00:00:00
Argentina,2011,644,17.76,2010s,2011-01-01 00:00:00
Argentina,2012,635,18.3,2010s,2012-01-01 00:00:00
Argentina,2013,631,16.66,2010s,2013-01-01 00:00:00
Armenia,1992,562,7.44,1990s,1992-01-01 00:00:00
Armenia,1993,626,7.69,1990s,1993-01-01 00:00:00
Armenia,1994,574,8.84,1990s,1994-01-01 00:00:00
Armenia,1995,618,9.76,1990s,1995-01-01 00:00:00
Armenia,1996,583,9.55,1990s,1996-01-01 00:00:00
Armenia,1997,612,9.1,1990s,1997-01-01 00:00:00
Armenia,1998,617,10.28,1990s,1998-01-01 00:00:00
Armenia,1999,596,10.11,1990s,1999-01-01 00:00:00
Armenia,2000,578,9.68,2000s,2000-01-01 00:00:00
Armenia,2001,577,10.18,2000s,2001-01-01 00:00:00
Armenia,2002,610,9.41,2000s,2002-01-01 00:00:00
Armenia,2004,631,9.55,2000s,2004-01-01 00:00:00
Armenia,2005,610,9.58,2000s,2005-01-01 00:00:00
Armenia,2006,583,9.89,2000s,2006-01-01 00:00:00
Armenia,2007,620,9.44,2000s,2007-01-01 00:00:00
Armenia,2008,592,9.51,2000s,2008-01-01 00:00:00
Armenia,2009,571,9.67,2000s,2009-01-01 00:00:00
Armenia,2010,636,11.31,2010s,2010-01-01 00:00:00
Armenia,2011,637,8.93,2010s,2011-01-01 00:00:00
Armenia,2012,634,10.2,2010s,2012-01-01 00:00:00
Armenia,2013,635,11.08,2010s,2013-01-01 00:00:00
Australia,1990,534,16.44,1990s,1990-01-01 00:00:00
Australia,1991,534,16.61,1990s,1991-01-01 00:00:00
Australia,1992,609,15.9,1990s,1992-01-01 00:00:00
Australia,1993,547,16.33,1990s,1993-01-01 00:00:00
Australia,1994,591,16.28,1990s,1994-01-01 00:00:00
Australia,1995,555,16.1,1990s,1995-01-01 00:00:00
Australia,1996,542,16.12,1990s,1996-01-01 00:00:00
Australia,1997,561,16.53,1990s,1997-01-01 00:00:00
Australia,1998,576,16.65,1990s,1998-01-01 00:00:00
Australia,1999,543,16.61,1990s,1999-01-01 00:00:00
Australia,2000,548,16.67,2000s,2000-01-01 00:00:00
Australia,2001,569,16.59,2000s,2001-01-01 00:00:00
Australia,2002,541,16.68,2000s,2002-01-01 00:00:00
Australia,2004,539,16.65,2000s,2004-01-01 00:00:00
Australia,2005,604,16.8,2000s,2005-01-01 00:00:00
Australia,2006,601,16.69,2000s,2006-01-01 00:00:00
Australia,2007,585,17.08,2000s,2007-01-01 00:00:00
Australia,2008,577,16.45,2000s,2008-01-01 00:00:00
Australia,2009,552,17.12,2000s,2009-01-01 00:00:00
Australia,2010,586,16.79,2010s,2010-01-01 00:00:00
Australia,2011,587,16.8,2010s,2011-01-01 00:00:00
Australia,2012,598,16.67,2010s,2012-01-01 00:00:00
Australia,2013,568,17.09,2010s,2013-01-01 00:00:00
Austria,1990,1110,9.23,1990s,1990-01-01 00:00:00
Austria,1991,1161,8.15,1990s,1991-01-01 00:00:00
Austria,1992,1150,9.49,1990s,1992-01-01 00:00:00
Austria,1993,1128,8.48,1990s,1993-01-01 00:00:00
Austria,1994,1117,9.89,1990s,1994-01-01 00:00:00
Austria,1995,1112,8.79,1990s,1995-01-01 00:00:00
Austria,1996,1111,7.4,1990s,1996-01-01 00:00:00
Austria,1997,1122,8.37,1990s,1997-01-01 00:00:00
Austria,1998,1130,9.01,1990s,1998-01-01 00:00:00
Austria,1999,1165,9.17,1990s,1999-01-01 00:00:00
Austria,2000,1170,10.08,2000s,2000-01-01 00:00:00
Austria,2001,1157,8.75,2000s,2001-01-01 00:00:00
Austria,2002,1128,9.62,2000s,2002-01-01 00:00:00
Austria,2004,1141,8.76,2000s,2004-01-01 00:00:00
Austria,2005,1132,8.6,2000s,2005-01-01 00:00:00
Austria,2006,1111,9.13,2000s,2006-01-01 00:00:00
Austria,2007,1138,10.03,2000s,2007-01-01 00:00:00
Austria,2008,1110,9.96,2000s,2008-01-01 00:00:00
Austria,2009,1156,9.48,2000s,2009-01-01 00:00:00
Austria,2010,1158,8.36,2010s,2010-01-01 00:00:00
Austria,2011,1179,9.42,2010s,2011-01-01 00:00:00
Austria,2012,1155,9.42,2010s,2012-01-01 00:00:00
Austria,2013,1141,10.03,2010s,2013-01-01 00:00:00
Azerbaijan,1992,447,10.93,1990s,1992-01-01 00:00:00
Azerbaijan,1993,459,10.53,1990s,1993-01-01 00:00:00
Azerbaijan,1994,452,11.32,1990s,1994-01-01 00:00:00
Azerbaijan,1995,495,12.81,1990s,1995-01-01 00:00:00
Azerbaijan,1996,520,11.96,1990s,1996-01-01 00:00:00
Azerbaijan,1997,483,11.89,1990s,1997-01-01 00:00:00
Azerbaijan,1998,472,12.79,1990s,1998-01-01 00:00:00
Azerbaijan,1999,448,12.74,1990s,1999-01-01 00:00:00
Azerbaijan,2000,522,12.61,2000s,2000-01-01 00:00:00
Azerbaijan,2001,462,12.97,2000s,2001-01-01 00:00:00
Azerbaijan,2002,498,12.45,2000s,2002-01-01 00:00:00
Azerbaijan,2004,513,12.76,2000s,2004-01-01 00:00:00
Azerbaijan,2005,491,12.88,2000s,2005-01-01 00:00:00
Azerbaijan,2006,492,12.66,2000s,2006-01-01 00:00:00
Azerbaijan,2007,508,12.75,2000s,2007-01-01 00:00:00
Azerbaijan,2008,505,12.3,2000s,2008-01-01 00:00:00
Azerbaijan,2009,465,12.6,2000s,2009-01-01 00:00:00
Azerbaijan,2010,487,13.85,2010s,2010-01-01 00:00:00
Azerbaijan,2011,481,11.79,2010s,2011-01-01 00:00:00
Azerbaijan,2012,460,13,2010s,2012-01-01 00:00:00
Azerbaijan,2013,477,14.12,2010s,2013-01-01 00:00:00
Bahamas,1992,1292,25.1,1990s,1992-01-01 00:00:00
Bahamas,1993,1367,25.26,1990s,1993-01-01 00:00:00
Bahamas,1994,1295,25.73,1990s,1994-01-01 00:00:00
Bahamas,1995,1354,25.44,1990s,1995-01-01 00:00:00
Bahamas,1996,1311,25.06,1990s,1996-01-01 00:00:00
Bahamas,1997,1326,25.81,1990s,1997-01-01 00:00:00
Bahamas,1998,1332,25.94,1990s,1998-01-01 00:00:00
Bahamas,1999,1312,25.31,1990s,1999-01-01 00:00:00
Bahamas,2000,1302,25.16,2000s,2000-01-01 00:00:00
Bahamas,2001,1365,25.23,2000s,2001-01-01 00:00:00
Bahamas,2002,1345,25.79,2000s,2002-01-01 00:00:00
Bahamas,2004,1316,25.46,2000s,2004-01-01 00:00:00
Bahamas,2005,1296,25.43,2000s,2005-01-01 00:00:00
Bahamas,2006,1297,25.34,2000s,2006-01-01 00:00:00
Bahamas,2007,1343,25.71,2000s,2007-01-01 00:00:00
Bahamas,2008,1346,25.63,2000s,2008-01-01 00:00:00
Bahamas,2009,1323,25.46,2000s,2009-01-01 00:00:00
Bahamas,2010,1294,24.77,2010s,2010-01-01 00:00:00
Bahamas,2011,1329,25.76,2010s,2011-01-01 00:00:00
Bahamas,2012,1304,25.46,2010s,2012-01-01 00:00:00
Bahamas,2013,1355,25.88,2010s,2013-01-01 00:00:00
Bahrain,1990,83,26.26,1990s,1990-01-01 00:00:00
Bahrain,1991,150,25.73,1990s,1991-01-01 00:00:00
Bahrain,1992,90,25.09,1990s,1992-01-01 00:00:00
Bahrain,1993,138,26.09,1990s,1993-01-01 00:00:00
Bahrain,1994,121,26.66,1990s,1994-01-01 00:00:00
Bahrain,1995,113,26.18,1990s,1995-01-01 00:00:00
Bahrain,1996,117,26.76,1990s,1996-01-01 00:00:00
Bahrain,1997,99,26.11,1990s,1997-01-01 00:00:00
Bahrain,1998,144,27.54,1990s,1998-01-01 00:00:00
Bahrain,1999,149,27.67,1990s,1999-01-01 00:00:00
Bahrain,2000,131,26.99,2000s,2000-01-01 00:00:00
Bahrain,2001,139,27.36,2000s,2001-01-01 00:00:00
Bahrain,2002,141,27.19,2000s,2002-01-01 00:00:00
Bahrain,2004,84,27.07,2000s,2004-01-01 00:00:00
Bahrain,2005,94,26.89,2000s,2005-01-01 00:00:00
Bahrain,2006,127,27.15,2000s,2006-01-01 00:00:00
Bahrain,2007,106,27.13,2000s,2007-01-01 00:00:00
Bahrain,2008,151,26.96,2000s,2008-01-01 00:00:00
Bahrain,2009,94,27.24,2000s,2009-01-01 00:00:00
Bahrain,2010,149,28,2010s,2010-01-01 00:00:00
Bahrain,2011,110,27.01,2010s,2011-01-01 00:00:00
Bahrain,2012,145,27.45,2010s,2012-01-01 00:00:00
Bahrain,2013,102,27.86,2010s,2013-01-01 00:00:00
Bangladesh,1990,2666,25.98,1990s,1990-01-01 00:00:00
Bangladesh,1991,2721,25.85,1990s,1991-01-01 00:00:00
Bangladesh,1992,2704,25.86,1990s,1992-01-01 00:00:00
Bangladesh,1993,2705,25.73,1990s,1993-01-01 00:00:00
Bangladesh,1994,2734,25.91,1990s,1994-01-01 00:00:00
Bangladesh,1995,2724,26.09,1990s,1995-01-01 00:00:00
Bangladesh,1996,2739,26.15,1990s,1996-01-01 00:00:00
Bangladesh,1997,2713,25.55,1990s,1997-01-01 00:00:00
Bangladesh,1998,2669,26.13,1990s,1998-01-01 00:00:00
Bangladesh,1999,2686,26.31,1990s,1999-01-01 00:00:00
Bangladesh,2000,2712,25.91,2000s,2000-01-01 00:00:00
Bangladesh,2001,2669,25.93,2000s,2001-01-01 00:00:00
Bangladesh,2002,2738,26.1,2000s,2002-01-01 00:00:00
Bangladesh,2004,2705,26.14,2000s,2004-01-01 00:00:00
Bangladesh,2005,2727,26.19,2000s,2005-01-01 00:00:00
Bangladesh,2006,2692,26.44,2000s,2006-01-01 00:00:00
Bangladesh,2007,2728,25.95,2000s,2007-01-01 00:00:00
Bangladesh,2008,2713,26,2000s,2008-01-01 00:00:00
Bangladesh,2009,2724,26.54,2000s,2009-01-01 00:00:00
Bangladesh,2010,2700,26.65,2010s,2010-01-01 00:00:00
Bangladesh,2011,2715,25.8,2010s,2011-01-01 00:00:00
Bangladesh,2012,2741,26.28,2010s,2012-01-01 00:00:00
Bangladesh,2013,2722,26.59,2010s,2013-01-01 00:00:00
Belarus,1992,618,6.74,1990s,1992-01-01 00:00:00
Belarus,1993,637,5.61,1990s,1993-01-01 00:00:00
Belarus,1994,635,6.26,1990s,1994-01-01 00:00:00
Belarus,1995,664,6.68,1990s,1995-01-01 00:00:00
Belarus,1996,642,5.32,1990s,1996-01-01 00:00:00
Belarus,1997,621,5.98,1990s,1997-01-01 00:00:00
Belarus,1998,685,6.11,1990s,1998-01-01 00:00:00
Belarus,1999,670,7.38,1990s,1999-01-01 00:00:00
Belarus,2000,687,7.52,2000s,2000-01-01 00:00:00
Belarus,2001,661,6.71,2000s,2001-01-01 00:00:00
Belarus,2002,627,7.34,2000s,2002-01-01 00:00:00
Belarus,2004,680,6.49,2000s,2004-01-01 00:00:00
Belarus,2005,645,6.53,2000s,2005-01-01 00:00:00
Belarus,2006,621,6.6,2000s,2006-01-01 00:00:00
Belarus,2007,665,7.51,2000s,2007-01-01 00:00:00
Belarus,2008,693,7.75,2000s,2008-01-01 00:00:00
Belarus,2009,685,6.75,2000s,2009-01-01 00:00:00
Belarus,2010,648,6.71,2010s,2010-01-01 00:00:00
Belarus,2011,656,7.29,2010s,2011-01-01 00:00:00
Belarus,2012,670,6.33,2010s,2012-01-01 00:00:00
Belarus,2013,644,7.83,2010s,2013-01-01 00:00:00
Belgium,2000,847,11.37,2000s,2000-01-01 00:00:00
Belgium,2001,889,10.94,2000s,2001-01-01 00:00:00
Belgium,2002,899,11.44,2000s,2002-01-01 00:00:00
Belgium,2004,893,10.94,2000s,2004-01-01 00:00:00
Belgium,2005,894,11.16,2000s,2005-01-01 00:00:00
Belgium,2006,850,11.48,2000s,2006-01-01 00:00:00
Belgium,2007,916,11.52,2000s,2007-01-01 00:00:00
Belgium,2008,901,10.9,2000s,2008-01-01 00:00:00
Belgium,2009,867,11,2000s,2009-01-01 00:00:00
Belgium,2010,875,9.74,2010s,2010-01-01 00:00:00
Belgium,2011,860,11.69,2010s,2011-01-01 00:00:00
Belgium,2012,920,10.68,2010s,2012-01-01 00:00:00
Belgium,2013,910,10.36,2010s,2013-01-01 00:00:00
Botswana,1990,416,19.54,1990s,1990-01-01 00:00:00
Botswana,1991,418,19.29,1990s,1991-01-01 00:00:00
Botswana,1992,441,20.59,1990s,1992-01-01 00:00:00
Botswana,1993,417,19.97,1990s,1993-01-01 00:00:00
Botswana,1994,424,19.26,1990s,1994-01-01 00:00:00
Botswana,1995,423,19.96,1990s,1995-01-01 00:00:00
Botswana,1996,459,19.1,1990s,1996-01-01 00:00:00
Botswana,1997,437,19.26,1990s,1997-01-01 00:00:00
Botswana,1998,430,20.05,1990s,1998-01-01 00:00:00
Botswana,1999,454,20.24,1990s,1999-01-01 00:00:00
Botswana,2000,453,18.97,2000s,2000-01-01 00:00:00
Botswana,2001,454,19.36,2000s,2001-01-01 00:00:00
Botswana,2002,469,19.89,2000s,2002-01-01 00:00:00
Botswana,2004,490,19.41,2000s,2004-01-01 00:00:00
Botswana,2005,489,20.42,2000s,2005-01-01 00:00:00
Botswana,2006,427,18.97,2000s,2006-01-01 00:00:00
Botswana,2007,490,19.71,2000s,2007-01-01 00:00:00
Botswana,2008,475,19.63,2000s,2008-01-01 00:00:00
Botswana,2009,481,19.25,2000s,2009-01-01 00:00:00
Botswana,2010,424,19.98,2010s,2010-01-01 00:00:00
Botswana,2011,462,19.19,2010s,2011-01-01 00:00:00
Botswana,2012,448,19.83,2010s,2012-01-01 00:00:00
Botswana,2013,453,18.69,2010s,2013-01-01 00:00:00
Brazil,1990,1761,22.44,1990s,1990-01-01 00:00:00
Brazil,1991,1829,22.38,1990s,1991-01-01 00:00:00
Brazil,1992,1772,22.36,1990s,1992-01-01 00:00:00
Brazil,1993,1779,22.61,1990s,1993-01-01 00:00:00
Brazil,1994,1768,22.73,1990s,1994-01-01 00:00:00
Brazil,1995,1775,22.73,1990s,1995-01-01 00:00:00
Brazil,1996,1809,22.41,1990s,1996-01-01 00:00:00
Brazil,1997,1763,22.78,1990s,1997-01-01 00:00:00
Brazil,1998,1808,22.95,1990s,1998-01-01 00:00:00
Brazil,1999,1819,22.26,1990s,1999-01-01 00:00:00
Brazil,2000,1773,22.43,2000s,2000-01-01 00:00:00
Brazil,2001,1812,22.96,2000s,2001-01-01 00:00:00
Brazil,2002,1829,23.15,2000s,2002-01-01 00:00:00
Brazil,2004,1772,22.43,2000s,2004-01-01 00:00:00
Brazil,2005,1769,22.97,2000s,2005-01-01 00:00:00
Brazil,2006,1812,22.79,2000s,2006-01-01 00:00:00
Brazil,2007,1786,22.89,2000s,2007-01-01 00:00:00
Brazil,2008,1766,22.46,2000s,2008-01-01 00:00:00
Brazil,2009,1819,22.86,2000s,2009-01-01 00:00:00
Brazil,2010,1780,22.88,2010s,2010-01-01 00:00:00
Brazil,2011,1785,22.49,2010s,2011-01-01 00:00:00
Brazil,2012,1821,23.06,2010s,2012-01-01 00:00:00
Brazil,2013,1815,22.48,2010s,2013-01-01 00:00:00
Bulgaria,1990,608,9.51,1990s,1990-01-01 00:00:00
Bulgaria,1991,616,8.14,1990s,1991-01-01 00:00:00
Bulgaria,1992,668,9.07,1990s,1992-01-01 00:00:00
Bulgaria,1993,633,9,1990s,1993-01-01 00:00:00
Bulgaria,1994,608,10.23,1990s,1994-01-01 00:00:00
Bulgaria,1995,638,8.69,1990s,1995-01-01 00:00:00
Bulgaria,1996,614,8.44,1990s,1996-01-01 00:00:00
Bulgaria,1997,614,8.26,1990s,1997-01-01 00:00:00
Bulgaria,1998,638,9.16,1990s,1998-01-01 00:00:00
Bulgaria,1999,628,9.67,1990s,1999-01-01 00:00:00
Bulgaria,2000,636,9.9,2000s,2000-01-01 00:00:00
Bulgaria,2001,671,9.55,2000s,2001-01-01 00:00:00
Bulgaria,2002,644,9.6,2000s,2002-01-01 00:00:00
Bulgaria,2004,674,9.18,2000s,2004-01-01 00:00:00
Bulgaria,2005,612,8.58,2000s,2005-01-01 00:00:00
Bulgaria,2006,666,9.08,2000s,2006-01-01 00:00:00
Bulgaria,2007,683,10.23,2000s,2007-01-01 00:00:00
Bulgaria,2008,643,9.9,2000s,2008-01-01 00:00:00
Bulgaria,2009,609,9.74,2000s,2009-01-01 00:00:00
Bulgaria,2010,682,9.65,2010s,2010-01-01 00:00:00
Bulgaria,2011,664,9.17,2010s,2011-01-01 00:00:00
Bulgaria,2012,657,9.99,2010s,2012-01-01 00:00:00
Bulgaria,2013,671,11.26,2010s,2013-01-01 00:00:00
Burkina Faso,1990,748,28.77,1990s,1990-01-01 00:00:00
Burkina Faso,1991,816,28.4,1990s,1991-01-01 00:00:00
Burkina Faso,1992,762,28.06,1990s,1992-01-01 00:00:00
Burkina Faso,1993,815,28.58,1990s,1993-01-01 00:00:00
Burkina Faso,1994,772,28,1990s,1994-01-01 00:00:00
Burkina Faso,1995,799,28.46,1990s,1995-01-01 00:00:00
Burkina Faso,1996,772,28.74,1990s,1996-01-01 00:00:00
Burkina Faso,1997,773,28.52,1990s,1997-01-01 00:00:00
Burkina Faso,1998,765,28.95,1990s,1998-01-01 00:00:00
Burkina Faso,1999,749,28.45,1990s,1999-01-01 00:00:00
Burkina Faso,2000,772,28.6,2000s,2000-01-01 00:00:00
Burkina Faso,2001,822,28.77,2000s,2001-01-01 00:00:00
Burkina Faso,2002,821,28.97,2000s,2002-01-01 00:00:00
Burkina Faso,2004,789,28.9,2000s,2004-01-01 00:00:00
Burkina Faso,2005,754,29.18,2000s,2005-01-01 00:00:00
Burkina Faso,2006,783,28.92,2000s,2006-01-01 00:00:00
Burkina Faso,2007,806,28.96,2000s,2007-01-01 00:00:00
Burkina Faso,2008,818,28.4,2000s,2008-01-01 00:00:00
Burkina Faso,2009,759,29.05,2000s,2009-01-01 00:00:00
Burkina Faso,2010,756,29.17,2010s,2010-01-01 00:00:00
Burkina Faso,2011,756,29.03,2010s,2011-01-01 00:00:00
Burkina Faso,2012,773,28.67,2010s,2012-01-01 00:00:00
Burkina Faso,2013,805,29.41,2010s,2013-01-01 00:00:00
Burundi,1990,1274,21.15,1990s,1990-01-01 00:00:00
Burundi,1991,1303,20.97,1990s,1991-01-01 00:00:00
Burundi,1992,1348,21.31,1990s,1992-01-01 00:00:00
Burundi,1993,1314,21.17,1990s,1993-01-01 00:00:00
Burundi,1994,1288,21.25,1990s,1994-01-01 00:00:00
Burundi,1995,1324,21.55,1990s,1995-01-01 00:00:00
Burundi,1996,1310,21.18,1990s,1996-01-01 00:00:00
Burundi,1997,1291,21.51,1990s,1997-01-01 00:00:00
Burundi,1998,1320,21.56,1990s,1998-01-01 00:00:00
Burundi,1999,1301,21.01,1990s,1999-01-01 00:00:00
Burundi,2000,1311,21.32,2000s,2000-01-01 00:00:00
Burundi,2001,1320,21.24,2000s,2001-01-01 00:00:00
Burundi,2002,1278,21.45,2000s,2002-01-01 00:00:00
Burundi,2004,1333,21.71,2000s,2004-01-01 00:00:00
Burundi,2005,1274,22.29,2000s,2005-01-01 00:00:00
Burundi,2006,1296,21.83,2000s,2006-01-01 00:00:00
Burundi,2007,1282,21.28,2000s,2007-01-01 00:00:00
Burundi,2008,1279,21.29,2000s,2008-01-01 00:00:00
Burundi,2009,1298,21.42,2000s,2009-01-01 00:00:00
Burundi,2010,1291,21.75,2010s,2010-01-01 00:00:00
Burundi,2011,1281,21.23,2010s,2011-01-01 00:00:00
Burundi,2012,1294,21.44,2010s,2012-01-01 00:00:00
Burundi,2013,1298,21.53,2010s,2013-01-01 00:00:00
Cameroon,1990,1604,25.08,1990s,1990-01-01 00:00:00
Cameroon,1991,1645,24.99,1990s,1991-01-01 00:00:00
Cameroon,1992,1644,24.6,1990s,1992-01-01 00:00:00
Cameroon,1993,1608,24.9,1990s,1993-01-01 00:00:00
Cameroon,1994,1654,24.93,1990s,1994-01-01 00:00:00
Cameroon,1995,1634,25.21,1990s,1995-01-01 00:00:00
Cameroon,1996,1653,25,1990s,1996-01-01 00:00:00
Cameroon,1997,1627,24.98,1990s,1997-01-01 00:00:00
Cameroon,1998,1642,25.66,1990s,1998-01-01 00:00:00
Cameroon,1999,1629,24.97,1990s,1999-01-01 00:00:00
Cameroon,2000,1637,24.88,2000s,2000-01-01 00:00:00
Cameroon,2001,1627,25.01,2000s,2001-01-01 00:00:00
Cameroon,2002,1670,25.26,2000s,2002-01-01 00:00:00
Cameroon,2004,1627,25.42,2000s,2004-01-01 00:00:00
Cameroon,2005,1672,25.36,2000s,2005-01-01 00:00:00
Cameroon,2006,1640,25.39,2000s,2006-01-01 00:00:00
Cameroon,2007,1633,25.49,2000s,2007-01-01 00:00:00
Cameroon,2008,1611,25.42,2000s,2008-01-01 00:00:00
Cameroon,2009,1643,25.54,2000s,2009-01-01 00:00:00
Cameroon,2010,1657,25.7,2010s,2010-01-01 00:00:00
Cameroon,2011,1615,25.25,2010s,2011-01-01 00:00:00
Cameroon,2012,1615,25.18,2010s,2012-01-01 00:00:00
Cameroon,2013,1662,25.45,2010s,2013-01-01 00:00:00
Canada,1990,537,7.42,1990s,1990-01-01 00:00:00
Canada,1991,554,7.43,1990s,1991-01-01 00:00:00
Canada,1992,578,6.16,1990s,1992-01-01 00:00:00
Canada,1993,567,6.1,1990s,1993-01-01 00:00:00
Canada,1994,584,6.27,1990s,1994-01-01 00:00:00
Canada,1995,576,6.81,1990s,1995-01-01 00:00:00
Canada,1996,585,6.27,1990s,1996-01-01 00:00:00
Canada,1997,537,6.26,1990s,1997-01-01 00:00:00
Canada,1998,560,8.42,1990s,1998-01-01 00:00:00
Canada,1999,564,7.66,1990s,1999-01-01 00:00:00
Canada,2000,559,6.61,2000s,2000-01-01 00:00:00
Canada,2001,597,7.68,2000s,2001-01-01 00:00:00
Canada,2002,602,7.4,2000s,2002-01-01 00:00:00
Canada,2004,574,6.73,2000s,2004-01-01 00:00:00
Canada,2005,607,7.34,2000s,2005-01-01 00:00:00
Canada,2006,606,7.98,2000s,2006-01-01 00:00:00
Canada,2007,597,6.93,2000s,2007-01-01 00:00:00
Canada,2008,576,6.77,2000s,2008-01-01 00:00:00
Canada,2009,551,6.59,2000s,2009-01-01 00:00:00
